Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Arizona, Gold Canyon, AZ 85118, United States",11/15/2020,81.1,61.1,71.6,,78.9,0,0,0,0,4.3,8.1,15,8.8,15.1,Clear
"Arizona, Gold Canyon, AZ 85118, United States",11/16/2020,85.9,54.1,69.1,,82.6,0,0,0,0,5.2,15,15,7.6,18.8,Clear
"Arizona, Gold Canyon, AZ 85118, United States",11/17/2020,88.1,60,72.6,,84.3,2,0,0,0,4.9,9.2,15,13.6,20.3,Clear
"Arizona, Gold Canyon, AZ 85118, United States",11/18/2020,81.9,62,73.1,,79.9,2,0,0,0,3.4,8.1,15,12.2,26.3,Clear
"Arizona, Gold Canyon, AZ 85118, United States",11/19/2020,81.1,62,73,,79.5,1,0,0,0,3.4,5.8,15,24.7,29.9,Clear
"Arizona, Gold Canyon, AZ 85118, United States",11/20/2020,80,63.1,72.6,,83.3,3,0.05,0,0,4,8.1,15,40.2,32,Partially cloudy
"Arizona, Gold Canyon, AZ 85118, United States",11/21/2020,74.9,60,68.9,,,5,0,0,0,4.3,8.1,15,25.1,36.9,Partially cloudy
"Arizona, Gold Canyon, AZ 85118, United States",11/22/2020,72.9,53.5,62.2,,,0,0,0,0,3.9,8.7,15,0,31.6,Clear
"Arizona, Gold Canyon, AZ 85118, United States",11/23/2020,72.4,52.6,61.6,,,0,0,0,0,5,13.2,15,39.3,27.6,Partially cloudy
"Arizona, Gold Canyon, AZ 85118, United States",11/24/2020,68.4,51.5,59.6,,,4.8,0,0,0,4.7,13.4,15,28,26.6,Partially cloudy
"Arizona, Gold Canyon, AZ 85118, United States",11/25/2020,73.8,51,60,,,0,0,0,0,4.3,9.5,15,24,18,Clear
"Arizona, Gold Canyon, AZ 85118, United States",11/26/2020,73.1,53.1,61.2,,,0,0,0,0,3.1,7.4,15,36.7,23.7,Partially cloudy
"Arizona, Gold Canyon, AZ 85118, United States",11/27/2020,71,51.3,60,,,0,0,0,0,2.8,7.2,15,61.1,25.9,Partially cloudy
"Arizona, Gold Canyon, AZ 85118, United States",11/28/2020,73.5,51.5,61.2,,,9.5,0,0,0,3.8,9.4,15,48.5,22.9,Partially cloudy
"Arizona, Gold Canyon, AZ 85118, United States",11/29/2020,75.1,52.8,63,,,14.3,0,0,0,8.3,18.6,15,29.6,25,Partially cloudy
"Arizona, Gold Canyon, AZ 85118, United States",11/30/2020,74,58,64.3,,,4.8,0.12,0,0,10.7,25.7,8.1,88.8,43.8,Overcast
"Frazier Wells, Peach Springs, AZ, United States",11/15/2020,62,44,53.7,42.5,,0,0,0,0,4.2,10.3,15,4.9,23.5,Clear
"Frazier Wells, Peach Springs, AZ, United States",11/16/2020,67,40.9,51.8,37,,0,0,0,0,6.8,13.9,15,5.3,25.7,Clear
"Frazier Wells, Peach Springs, AZ, United States",11/17/2020,67.9,42,53.8,37,,1,0,0,0,11.8,24.2,15,20.9,27.8,Clear
"Frazier Wells, Peach Springs, AZ, United States",11/18/2020,63.1,49,56,43.4,,1,0,0,0,16.6,30,15,21.2,29.1,Clear
"Frazier Wells, Peach Springs, AZ, United States",11/19/2020,60,47.9,54.6,42.6,,4,0,0,0,12.8,23,15,30.4,33.8,Partially cloudy
"Frazier Wells, Peach Springs, AZ, United States",11/20/2020,56.9,45.9,51.9,42.3,,8,0,0,0,10.7,19.5,15,40.6,40.5,Partially cloudy
"Frazier Wells, Peach Springs, AZ, United States",11/21/2020,53,42,48.3,37,,8,0,0,0,8.1,15,15,22.7,46.4,Clear
"Frazier Wells, Peach Springs, AZ, United States",11/22/2020,48.5,34.2,40.4,27.9,,0,0,0,0,9.2,13.6,15,0,46.9,Clear
"Frazier Wells, Peach Springs, AZ, United States",11/23/2020,49.9,31.2,39.3,24.7,,4.8,0,0,0,14,32.2,15,66.3,35.3,Partially cloudy
"Frazier Wells, Peach Springs, AZ, United States",11/24/2020,43.6,29.2,36.1,21.7,,4.8,0,0,0,9.8,23.4,15,7.6,38.4,Clear
"Frazier Wells, Peach Springs, AZ, United States",11/25/2020,53.9,32.8,40.6,25.2,,4.8,0,0,0,6.5,15.9,15,37.2,21.7,Partially cloudy
"Frazier Wells, Peach Springs, AZ, United States",11/26/2020,52.6,36.2,42.1,31.9,,4.8,0,0,0,4.9,8.1,15,50.8,26.6,Partially cloudy
"Frazier Wells, Peach Springs, AZ, United States",11/27/2020,50.4,33.9,40.4,29,,0,0,0,0,3.8,7.6,15,89.2,32.9,Overcast
"Frazier Wells, Peach Springs, AZ, United States",11/28/2020,51.2,30.1,37.7,23.4,,9.5,0,0,0,7.4,13.9,15,1.9,38.2,Clear
"Frazier Wells, Peach Springs, AZ, United States",11/29/2020,51.3,29.4,40.5,25.9,,14.3,0,0,0,9.1,30,15,71.2,35.2,Partially cloudy
"Frazier Wells, Peach Springs, AZ, United States",11/30/2020,47.2,40.5,43,31.9,,23.7,0.57,0,0,20.7,40.7,3.7,99.4,66.4,Overcast
"Moenkopi, Tuba City, AZ, United States",11/15/2020,58.9,40,49.5,35.9,,0,0,0,0,4,8.1,15,7,24.4,Clear
"Moenkopi, Tuba City, AZ, United States",11/16/2020,65,31.9,46.5,26.3,,0,0,0,0,4.9,8.1,15,7.1,30.1,Clear
"Moenkopi, Tuba City, AZ, United States",11/17/2020,63.9,33,47.6,28.5,,1,0,0,0,5.7,10.3,15,20.7,36,Clear
"Moenkopi, Tuba City, AZ, United States",11/18/2020,67.9,40,53.8,35.2,,1,0,0,0,11.1,26.4,15,28.5,35,Partially cloudy
"Moenkopi, Tuba City, AZ, United States",11/19/2020,67,42,54.8,37.6,,2,0,0,0,7.8,13,15,32.3,36.7,Partially cloudy
"Moenkopi, Tuba City, AZ, United States",11/20/2020,63.1,42,52.3,37,,8,0.03,0,0,9.6,20.8,9.7,45.8,42.7,Partially cloudy
"Moenkopi, Tuba City, AZ, United States",11/21/2020,56,38,47.3,32.8,,11,0,0,0,7.1,12.8,15,31.9,52.4,Partially cloudy
"Moenkopi, Tuba City, AZ, United States",11/22/2020,51.5,37.7,44.7,33.8,,0,0,0,0,11.6,23,15,3,37.5,Clear
"Moenkopi, Tuba City, AZ, United States",11/23/2020,52.6,33.2,42.9,32.6,,9.5,0,0,0,10,36.2,15,68,31.7,Partially cloudy
"Moenkopi, Tuba City, AZ, United States",11/24/2020,48.8,34.4,41.3,26.3,,4.8,0,0,0,9,36.5,15,7.5,28.1,Clear
"Moenkopi, Tuba City, AZ, United States",11/25/2020,50.1,33.5,40.7,43.9,,4.8,0,0,0,1.6,4,15,20.4,24.8,Clear
"Moenkopi, Tuba City, AZ, United States",11/26/2020,55.1,35.7,44.2,36.4,,4.8,0,0,0,2.5,5.6,15,52.8,25.2,Partially cloudy
"Moenkopi, Tuba City, AZ, United States",11/27/2020,53.7,38.2,44.1,36,,0,0,0,0,3,7.8,15,81.8,28.6,Overcast
"Moenkopi, Tuba City, AZ, United States",11/28/2020,49.5,34.8,40.4,30.2,,4.8,0,0,0,2.9,7.6,15,0.7,36.2,Clear
"Moenkopi, Tuba City, AZ, United States",11/29/2020,54.1,32.3,41.8,35.4,,19,0,0,0,3.6,14.3,15,39.8,29.6,Partially cloudy
"Moenkopi, Tuba City, AZ, United States",11/30/2020,57.8,43.5,50.4,40.7,,9.5,0.03,0,0,11.9,29.5,15,100,48.8,Overcast
"Sundad, Tonopah, AZ, United States",11/15/2020,80,65.9,72.3,,78.7,0,0,0,0,6,16.1,15,10,12.5,Clear
"Sundad, Tonopah, AZ, United States",11/16/2020,83,58.9,70.3,,80.4,0,0,0,0,6.8,19.5,15,9.3,15.3,Clear
"Sundad, Tonopah, AZ, United States",11/17/2020,83,62,71.4,,80.4,1,0,0,0,4,10.3,15,15.8,18.8,Clear
"Sundad, Tonopah, AZ, United States",11/18/2020,81.9,63.1,72.9,,79.7,1,0,0,0,3.5,6.9,15,12.8,20.7,Clear
"Sundad, Tonopah, AZ, United States",11/19/2020,81.1,63.1,72.9,,79.2,0,0,0,0,2.8,6.9,15,28.2,25.3,Partially cloudy
"Sundad, Tonopah, AZ, United States",11/20/2020,78,63.9,71.4,,80.7,2,0,0,0,3.2,9.2,15,41,27.7,Partially cloudy
"Sundad, Tonopah, AZ, United States",11/21/2020,76,60,67.8,,,2,0,0,0,4.3,11.4,15,18.5,30.8,Clear
"Sundad, Tonopah, AZ, United States",11/22/2020,74.6,51.9,60.3,,,0,0,0,0,9.3,18.8,15,0,28.3,Clear
"Sundad, Tonopah, AZ, United States",11/23/2020,72.6,52.4,60.5,,,0,0,0,0,6.2,11.2,15,47.5,22.6,Partially cloudy
"Sundad, Tonopah, AZ, United States",11/24/2020,71.7,50.4,58.8,,,0,0,0,0,6.8,12.8,15,25.3,22.5,Partially cloudy
"Sundad, Tonopah, AZ, United States",11/25/2020,73.7,49.9,60.1,47.8,,0,0,0,0,7.3,14.3,15,33.9,15.2,Partially cloudy
"Sundad, Tonopah, AZ, United States",11/26/2020,74.6,51.7,60.7,,,0,0,0,0,4.1,9.8,15,6.3,16.2,Clear
"Sundad, Tonopah, AZ, United States",11/27/2020,72.6,49.4,59.4,,,0,0,0,0,2.7,8.5,15,72.9,17.1,Partially cloudy
"Sundad, Tonopah, AZ, United States",11/28/2020,74.4,52.6,60.9,,,4.8,0,0,0,6.7,11,15,43.3,19,Partially cloudy
"Sundad, Tonopah, AZ, United States",11/29/2020,75.6,53.7,61.9,,,9.5,0,0,0,8,19.5,15,47,19.9,Partially cloudy
"Sundad, Tonopah, AZ, United States",11/30/2020,68.8,51.7,59.9,,,4.8,0.01,0,0,12.7,35.3,15,93.6,49.4,Overcast
